stat,m,n,num_perm,a0.01,a0.02,a0.05,a0.1,a0.2
t3,1,1,10000,1.386,1.386,1.386,1.386,1.386
t3,1,2,10000,2.773,2.773,2.773,2.773,2.773
t3,1,3,10000,4.159,4.159,4.159,4.159,4.159
t3,1,4,10000,5.545,5.545,5.545,5.545,5.545
t3,1,5,10000,6.931,6.931,6.931,6.931,5.545
t3,1,6,10000,8.318,8.318,8.318,8.318,6.931
t3,1,7,10000,9.704,9.704,9.704,9.704,8.318
t3,1,8,10000,11.09,11.09,11.09,11.09,9.704
t3,1,9,10000,12.477,12.477,12.477,12.477,9.704
t3,1,10,10000,13.863,13.863,13.863,12.477,11.09
t3,1,11,10000,15.249,15.249,15.249,13.863,12.477
t3,1,12,10000,16.636,16.636,16.636,15.249,13.863
t3,1,13,10000,18.022,18.022,18.022,16.636,15.249
t3,1,14,10000,19.408,19.408,19.408,18.022,16.636
t3,1,15,10000,20.794,20.794,20.794,19.408,16.636
t3,1,16,10000,22.181,22.181,22.181,20.794,18.022
t3,1,17,10000,23.567,23.567,23.567,22.181,19.408
t3,1,18,10000,24.953,24.953,24.953,23.567,20.794
t3,1,19,10000,26.34,26.34,24.953,23.567,20.794
t3,1,20,10000,27.726,27.726,26.34,24.953,22.181
t3,1,21,10000,29.112,29.112,27.726,26.34,23.567
t3,1,22,10000,30.498,30.498,29.112,27.726,24.953
t3,1,23,10000,31.885,31.885,30.498,29.112,26.34
t3,1,24,10000,33.271,33.271,31.885,30.498,26.34
t3,1,25,10000,34.657,34.657,33.271,31.885,27.726
t3,1,26,10000,36.044,36.044,34.657,33.271,29.112
t3,1,27,10000,37.43,37.43,36.044,34.657,30.498
t3,1,28,10000,38.816,38.816,37.43,36.044,31.885
t3,1,29,10000,40.203,40.203,38.816,36.044,31.885
t3,1,30,10000,41.589,41.589,40.203,37.43,33.271
t3,1,31,10000,42.975,42.975,41.589,38.816,34.657
t3,1,32,10000,44.361,44.361,42.975,40.203,36.044
t3,1,33,10000,45.748,45.748,44.361,41.589,37.43
t3,1,34,10000,47.134,47.134,45.748,42.975,37.43
t3,1,35,10000,48.52,48.52,47.134,44.361,38.816
t3,1,36,10000,49.907,49.907,48.52,45.748,40.203
t3,1,37,10000,51.293,51.293,48.52,47.134,41.589
t3,1,38,10000,52.679,52.679,51.293,48.52,42.975
t3,1,39,10000,54.065,54.065,52.679,49.907,44.361
t3,1,40,10000,55.452,55.452,52.679,49.907,44.361
t3,1,41,10000,56.838,56.838,54.065,51.293,45.748
t3,1,42,10000,58.224,58.224,55.452,52.679,47.134
t3,1,43,10000,59.611,59.611,56.838,54.065,48.52
t3,1,44,10000,60.997,60.997,58.224,55.452,49.907
t3,1,45,10000,62.383,62.383,59.611,56.838,49.907
t3,1,46,10000,63.77,63.77,60.997,58.224,51.293
t3,1,47,10000,65.156,65.156,62.383,59.611,52.679
t3,1,48,10000,66.542,65.156,63.77,60.997,54.065
t3,1,49,10000,67.928,66.542,65.156,60.997,54.065
t3,1,50,10000,69.315,67.928,66.542,62.383,55.452
t3,1,51,10000,70.701,69.315,67.928,63.77,56.838
t3,1,52,10000,72.087,70.701,69.315,65.156,58.224
t3,1,53,10000,73.474,72.087,70.701,66.542,58.224
t3,1,54,10000,74.86,73.474,72.087,67.928,59.611
t3,1,55,10000,76.246,74.86,73.474,69.315,60.997
t3,1,56,10000,77.632,76.246,74.86,70.701,62.383
t3,1,57,10000,79.019,77.632,76.246,72.087,63.77
t3,1,58,10000,80.405,79.019,77.632,73.474,65.156
t3,1,59,10000,81.791,80.405,77.632,73.474,66.542
t3,1,60,10000,83.178,81.791,79.019,74.86,66.542
t3,1,61,10000,84.564,83.178,80.405,76.246,67.928
t3,1,62,10000,85.95,84.564,81.791,77.632,69.315
t3,1,63,10000,87.337,85.95,83.178,79.019,69.315
t3,1,64,10000,88.723,87.337,84.564,80.405,70.701
t3,1,65,10000,90.109,88.723,85.95,81.791,72.087
t3,1,66,10000,91.495,90.109,87.337,83.178,73.474
t3,1,67,10000,92.882,91.495,88.723,84.564,74.86
t3,1,68,10000,94.268,92.882,90.109,85.95,76.246
t3,1,69,10000,95.654,94.268,91.495,85.95,76.246
t3,1,70,10000,97.041,95.654,92.882,87.337,77.632
t3,1,71,10000,98.427,97.041,94.268,90.109,80.405
t3,1,72,10000,99.813,98.427,95.654,90.109,80.405
t3,1,73,10000,101.199,99.813,97.041,91.495,81.791
t3,1,74,10000,102.586,101.199,98.427,92.882,81.791
t3,1,75,10000,103.972,102.586,99.813,94.268,83.178
t3,1,76,10000,105.358,103.972,101.199,95.654,84.564
