stat,m,n,num_perm,a0.01,a0.02,a0.05,a0.1,a0.2
t3,1,1,10000,2,2,2,2,2
t3,1,2,10000,8,8,8,8,8
t3,1,3,10000,20,20,20,20,20
t3,1,4,10000,40,40,40,40,40
t3,1,5,10000,70,70,70,70,68
t3,1,6,10000,112,112,112,112,110
t3,1,7,10000,168,168,168,168,166
t3,1,8,10000,240,240,240,240,238
t3,1,9,10000,330,330,330,330,324
t3,1,10,10000,440,440,440,438,434
t3,1,11,10000,572,572,572,570,566
t3,1,12,10000,728,728,728,726,722
t3,1,13,10000,910,910,910,908,904
t3,1,14,10000,1120,1120,1120,1118,1114
t3,1,15,10000,1360,1360,1360,1358,1348
t3,1,16,10000,1632,1632,1632,1630,1620
t3,1,17,10000,1938,1938,1938,1936,1926
t3,1,18,10000,2280,2280,2280,2278,2268
t3,1,19,10000,2660,2660,2658,2654,2640
t3,1,20,10000,3080,3080,3078,3074,3060
t3,1,21,10000,3542,3542,3540,3536,3522
t3,1,22,10000,4048,4048,4046,4042,4028
t3,1,23,10000,4600,4600,4598,4594,4580
t3,1,24,10000,5200,5200,5198,5194,5170
t3,1,25,10000,5850,5850,5848,5844,5820
t3,1,26,10000,6552,6552,6550,6546,6522
t3,1,27,10000,7308,7308,7306,7302,7278
t3,1,28,10000,8120,8120,8118,8114,8090
t3,1,29,10000,8990,8990,8988,8978,8948
t3,1,30,10000,9920,9920,9918,9908,9878
t3,1,31,10000,10912,10912,10910,10900,10870
t3,1,32,10000,11968,11968,11966,11956,11926
t3,1,33,10000,13090,13090,13088,13078,13048
t3,1,34,10000,14280,14280,14278,14268,14224
t3,1,35,10000,15540,15540,15538,15528,15484
t3,1,36,10000,16872,16872,16870,16860,16816
t3,1,37,10000,18278,18278,18272,18266,18222
t3,1,38,10000,19760,19760,19758,19748,19704
t3,1,39,10000,21320,21320,21318,21308,21264
t3,1,40,10000,22960,22960,22954,22940,22888
t3,1,41,10000,24682,24682,24676,24662,24610
t3,1,42,10000,26488,26488,26482,26468,26416
t3,1,43,10000,28380,28380,28374,28360,28308
t3,1,44,10000,30360,30360,30354,30340,30288
t3,1,45,10000,32430,32430,32424,32410,32340
t3,1,46,10000,34592,34592,34586,34572,34502
t3,1,47,10000,36848,36848,36842,36828,36758
t3,1,48,10000,39200,39198,39194,39180,39110
t3,1,49,10000,41650,41648,41644,41620,41540
t3,1,50,10000,44200,44198,44194,44170,44090
t3,1,51,10000,46852,46850,46846,46822,46742
t3,1,52,10000,49608,49606,49602,49578,49498
t3,1,53,10000,52470,52468,52464,52440,52338
t3,1,54,10000,55440,55438,55434,55410,55308
t3,1,55,10000,58520,58518,58514,58490,58388
t3,1,56,10000,61712,61710,61706,61682,61580
t3,1,57,10000,65018,65016,65012,64988,64886
t3,1,58,10000,68440,68438,68434,68410,68308
t3,1,59,10000,71980,71978,71968,71938,71848
t3,1,60,10000,75640,75638,75628,75598,75484
t3,1,61,10000,79422,79420,79410,79380,79266
t3,1,62,10000,83328,83326,83316,83286,83172
t3,1,63,10000,87360,87358,87348,87318,87178
t3,1,64,10000,91520,91518,91508,91478,91338
t3,1,65,10000,95810,95808,95798,95768,95628
t3,1,66,10000,100232,100230,100220,100190,100050
t3,1,67,10000,104788,104786,104776,104746,104606
t3,1,68,10000,109480,109478,109468,109438,109298
t3,1,69,10000,114310,114308,114298,114254,114100
t3,1,70,10000,119280,119278,119268,119224,119070
t3,1,71,10000,124392,124390,124380,124350,124210
t3,1,72,10000,129648,129646,129636,129592,129438
t3,1,73,10000,135050,135048,135038,134994,134840
t3,1,74,10000,140600,140598,140588,140544,140360
t3,1,75,10000,146300,146298,146288,146244,146060
t3,1,76,10000,152152,152150,152140,152096,151912
t3,1,77,10000,158158,158156,158146,158102,157886
t3,1,78,10000,164320,164318,164300,164248,164048
t3,1,79,10000,170640,170638,170628,170584,170400
t3,1,80,10000,177120,177118,177100,177048,176848
t3,1,81,10000,183762,183760,183742,183690,183490
t3,1,82,10000,190568,190566,190548,190496,190296
t3,1,83,10000,197540,197538,197520,197468,197268
t3,1,84,10000,204680,204678,204660,204608,204374
t3,1,85,10000,211990,211988,211978,211918,211718
t3,1,86,10000,219472,219470,219452,219400,219166
t3,1,87,10000,227128,227126,227108,227056,226822
t3,1,88,10000,234960,234958,234940,234888,234654
t3,1,89,10000,242968,242968,242950,242880,242628
t3,1,90,10000,251158,251158,251140,251070,250818
t3,1,91,10000,259532,259530,259512,259442,259190
t3,1,92,10000,268086,268082,268068,267998,267746
t3,1,93,10000,276830,276828,276800,276740,276488
t3,1,94,10000,285760,285758,285740,285670,285418
t3,1,95,10000,294880,294874,294860,294790,294500
t3,1,96,10000,304192,304190,304172,304102,303850
t3,1,97,10000,313698,313696,313668,313608,313318
t3,1,98,10000,323398,323394,323380,323290,323020
t3,1,99,10000,333298,333294,333280,333210,332920
t3,1,100,10000,343398,343398,343370,343290,342980
t3,1,101,10000,353700,353696,353672,353592,353282
t3,1,102,10000,364208,364206,364178,364098,363788
t3,1,103,10000,374918,374914,374890,374810,374458
t3,1,104,10000,385838,385834,385810,385730,385378
t3,1,105,10000,396968,396968,396940,396860,396550
t3,1,106,10000,408310,408306,408282,408202,407850
t3,1,107,10000,419868,419866,419838,419758,419448
t3,1,108,10000,431638,431634,431610,431530,431178
t3,1,109,10000,443628,443624,443600,443520,443168
t3,1,110,10000,455838,455834,455810,455708,455334
t3,1,111,10000,468270,468266,468242,468162,467766
t3,1,112,10000,480926,480922,480898,480796,480376
t3,1,113,10000,493808,493804,493768,493654,493258
t3,1,114,10000,506918,506914,506890,506788,506368
t3,1,115,10000,520258,520254,520230,520150,519708
t3,1,116,10000,533830,533826,533790,533676,533280
t3,1,117,10000,547636,547632,547608,547506,547086
t3,1,118,10000,561678,561674,561650,561524,561128
t3,1,119,10000,575958,575954,575918,575804,575360
t3,1,120,10000,590478,590474,590438,590348,589880
t3,1,121,10000,605240,605236,605200,605086,604642
t3,1,122,10000,620246,620242,620206,620092,619648
t3,1,123,10000,635498,635494,635458,635344,634850
t3,1,124,10000,650998,650994,650958,650868,650400
t3,1,125,10000,666748,666744,666708,666594,666100
t3,1,126,10000,682750,682746,682710,682596,682102
t3,1,127,10000,699006,699002,698966,698852,698358
t3,1,128,10000,715518,715514,715478,715364,714870
t3,1,129,10000,732288,732284,732248,732134,731640
t3,1,130,10000,749318,749314,749278,749138,748618
t3,1,131,10000,766610,766606,766570,766430,765910
t3,1,132,10000,784166,784156,784126,783986,783466
t3,1,133,10000,801988,801978,801934,801780,801234
t3,1,134,10000,820078,820074,820024,819898,819268
t3,1,135,10000,838438,838434,838398,838230,837628
t3,1,136,10000,857070,857066,857030,856890,856370
t3,1,137,10000,875976,875972,875936,875796,875222
t3,1,138,10000,895158,895154,895104,894978,894348
t3,1,139,10000,914618,914614,914564,914410,913808
t3,1,140,10000,934358,934354,934304,934178,933548
